weaponid,incidentid,weaponcaliber,weapondetails,weapontype
1653,20210210LASTS                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1654,20210214MNROM                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1655,20210127MSHAH                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1656,20210216NCTHS                                                                                                                     ,Pellet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,,Other                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1657,20210217TNKNK                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1658,20210219ILLIR                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1659,20210222CAHOV                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1660,20210224WAGAY                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1661,20210226LAGEN                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1662,20210301ARWAP                                                                                                                     ,.38 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1663,20210308SCEDC                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1664,20210309TNSAK                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1665,20210309OHBIC                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1666,20210311OHCIC                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1667,20210313TXLEA                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1668,20210318KYGRL                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1669,20210319WVSPM                                                                                                                     ,BB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,null,Other                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1670,20210324ORFOS                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1671,20180803IALIO                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1672,20210326MOCAS                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1673,20210327MAPEC                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
1674,20210401OKCLC                                                                                                                     ,BB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,null,Other                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1675,20210401ALSES                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1676,19790226CABAB                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Pistol,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1677,20210104NYPEJ                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1678,20210407ILPEP                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Not loaded,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1679,20210315INMEM                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Mulitiple Handguns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
1680,20210406ILBAC                                                                                                                     ,BB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Assault rifle replica,Other                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1681,20210412TNAUK                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
1682,20210411INBIH                                                                                                                     ,9mm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1683,20210412CASAS                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Rifle                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1684,20210412CASAS                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1685,20210413TNMAC                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1686,20170415ORMEP                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1687,20210418OHWED                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1688,20210420TXHAH                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1689,20210426MNPLP                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1690,20210427TNLAM                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1691,20210427DESMS                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1692,20210429NYURB                                                                                                                     ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,null,Mulitiple Handguns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
